Appalachian State,North Carolina-Charlotte,10,9
North Carolina,South Carolina,11,7
North Carolina,North Carolina-Charlotte,11,4
South Carolina,East Carolina,11,4
North Carolina-Charlotte,East Carolina,6,11
North Carolina,Appalachian State,11,2
South Carolina,North Carolina-Charlotte,11,4
Appalachian State,East Carolina,10,11
South Carolina,Appalachian State,8,11
North Carolina,East Carolina,11,5
North Carolina State,Duke,11,7
North Carolina-Wilmington,Charleston,11,0
Clemson,Wake Forest,11,5
North Carolina State,Charleston,11,2
North Carolina-Wilmington,Clemson,11,6
Duke,Wake Forest,11,1
North Carolina State,North Carolina-Wilmington,10,11
Duke,Clemson,11,2
Charleston,Wake Forest,11,2
North Carolina State,Clemson,11,3
North Carolina-Wilmington,Wake Forest,11,2
Duke,Charleston,11,4
North Carolina State,Wake Forest,11,1
North Carolina-Wilmington,Duke,11,7
Clemson,Charleston,11,10
Appalachian State,Clemson,10,6
Duke,East Carolina,11,6
North Carolina-Charlotte,Wake Forest,13,3
Appalachian State,Charleston,11,4
Duke,North Carolina-Charlotte,11,8
East Carolina,Wake Forest,11,3
Appalachian State,Wake Forest,11,4
Clemson,North Carolina-Charlotte,11,9
East Carolina,Charleston,11,3
Appalachian State,Duke,9,11
Clemson,East Carolina,6,10
North Carolina-Charlotte,Charleston,11,8
