Pittsburgh,Ohio State,13,14
Pittsburgh,Carnegie Mellon,15,6
Ohio,Ohio State,1,15
Pittsburgh,Villanova,15,3
Carnegie Mellon,Drexel,13,5
Ohio,Temple,14,13
Cincinnati,Ohio State,8,15
Pittsburgh,Miami,15,2
Villanova,Case Western Reserve,14,13
Carnegie Mellon,Dayton,14,8
Drexel,Penn State,15,14
Ohio,Lehigh,15,10
Pittsburgh,Temple,7,14
Cincinnati,Pennsylvania,12,11
West Chester,Ohio State,5,15
Pittsburgh,Carnegie Mellon,15,9
Carnegie Mellon,Ohio,14,7
Carnegie Mellon,Penn State,12,11
Villanova,Ohio,0,15
Case Western Reserve,Penn State,11,13
Lehigh,Villanova,11,15
Cincinnati,Case Western Reserve,9,15
Temple,Penn State,9,11
Drexel,Lehigh,8,15
Villanova,West Chester,15,0
Miami,Case Western Reserve,0,15
Dayton,Penn State,7,15
Lehigh,Pittsburgh,15,10
Pennsylvania,West Chester,6,12
Cincinnati,Temple,11,5
Drexel,West Chester,11,6
Dayton,Pennsylvania,0,15
Miami,Dayton,0,15
Pittsburgh,Pennsylvania,8,11
Miami,Pittsburgh,0,15
